icon,android,linux,osx
facebook,com_facebook_katana com_danvelazco_fbwrapper,web-facebook facebookresource chrome-boeajhmfdjldchidhphikilcgdacljfm-Default facebook-facebook.com,facebook
googleplus,com_google_android_apps_plus,googleplus Google-plus.google.com chrome-dlppkpafhbajpcmmoheippocdidnckmm-Default web-google-plus unity-webapps-googleplus google-plus unity-webapps-google-plus,googleplus
